
FullName                                                                                                                   Length LastWriteTime      
--------                                                                                                                   ------ -------------      
C:\Users\admin\AppData\Roaming\Code\User\chatLanguageModels.json                                                                2 05/02/2026 19:48:30
C:\Users\admin\AppData\Roaming\Code\User\settings.json                                                                        836 15/09/2026 23:07:36
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\agent-host-config.json                                                6820 15/09/2026 23:02:04
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\agent-host.db                                                        20480 28/08/2026 16:12:01
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\state.vscdb                                                        1548288 16/09/2026 00:46:26
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\state.vscdb.backup                                                 1548288 16/09/2026 00:46:26
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\storage.json                                                          8145 16/09/2026 00:41:22
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\dart-code.dart-code\package_cache.json                             1153438 15/09/2026 14:38:40
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\emptyWindowChatSessions\899b90d3-0888-469b-98f4-7e0bda32a138.json      722 30/01/2026 17:35:54
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\commandEmbeddings.json                        17059056 27/08/2026 17:30:01
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\session-store.db                                  4096 28/08/2026 16:11:22
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\session-store.db-shm                             32768 15/09/2026 23:01:55
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\session-store.db-wal                            622152 15/09/2026 18:02:27
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\toolEmbeddings.json                            1351727 29/08/2026 14:44:02
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\toolEmbeddingsCache.bin                         225659 24/08/2026 17:41:02
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\ask-agent\Ask.agent.md                            2394 15/09/2026 23:02:29
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\copilotCli\copilot                                 120 15/09/2026 23:02:10
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\copilotCli\copilot.bat                             154 15/09/2026 23:02:09
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\copilotCli\copilot.ps1                            8830 15/09/2026 23:02:08
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\debugCommand\copilot-debug.bat                     162 28/08/2026 16:12:54
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\debugCommand\copilot-debug.ps1                    5265 28/08/2026 16:12:49
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\debugCommand\copilotDebugCommand.js              19411 25/08/2026 14:46:46
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\explore-agent\Explore.agent.md                    2064 07/09/2026 16:05:26
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\plan-agent\Plan.agent.md                          5216 15/09/2026 23:02:28
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\ms-azuretools.vscode-azure-github-copilot\skills-state.json             37 24/08/2026 17:39:55
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\ms-python.python\pythonLocator\47bc8e5d2feb064c.3.json                 651 30/01/2026 17:51:01
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\ms-python.vscode-python-envs\pythonLocator\65377c951de749b0.4....      459 18/07/2026 12:15:27
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\cache\cline_recommended_models.json            2491 08/07/2026 16:47:55
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\cache\hicap_models.json                       10682 08/07/2026 16:48:01
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\cache\mcp_marketplace_catalog.json          2471495 08/07/2026 16:48:02
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\cache\openrouter_models.json                 163699 08/07/2026 18:03:32
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\cache\vercel_ai_gateway_models.json          129885 08/07/2026 16:48:01
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\settings\cline_mcp_settings.json                 22 08/07/2026 16:46:16
C:\Users\admin\AppData\Roaming\Code\User\globalStorage\saoudrizwan.claude-dev\state\taskHistory.json                        77640 08/07/2026 18:54:01
